name,for_human,for_human_per_night,for_dog,for_dog_per_night,weight_g,comment
Dry Bag,1,,,,7.1,
Skin closures,5,,,,1.3,
"Fabric shaped plasters (knuckles, fingers, etc.)",2,,,,1.15,
Fabric rectangular plasters,1,1,,,0.9,
"Sterile Dressings, 5 x 5 cm",2,,2,,2.5,
"Conforming Gauze Bandage, 2""",1,,,,7.1,
Fabric tape,1,,,,20.7,
Antiseptic Wipe,4,,4,,3.2,
Triple Antibiotic Ointment,2,,2,,1.3,
Ibuprofen (200 mg.),2,2,,,0.74,
Paracetemol,2,2,2,,0.74,
Antihistamine (loratadine 10mg),2,1,2,,0.32,
Blister plasters,10,,,,3,
Splinter tweezers,1,,,,6.9,
Safety Pin,2,,,,0.4,
Tick remover,1,,1,,1.8,
"Sterile Non-Adherent Dressing, 7.5 x 7.5 cm",2,,2,,3,
"Irrigation Syringe, 10cc. with 18 Gauge Tip",1,,,,7.3,
Saline Wound & Eye Wash,1,,,,114.4,
"Elastic Bandage Self Adhering, 2""",,,1,,17.8,
Triangular Bandage (See Instructions For use As Muzzle,,,1,,21.4,
"Hydrogen Peroxide 3%, 1 oz. (To Induce Vomiting)",,,1,,32,
Imodium,4,,,,1.45,
Talc,1,,,,9.4,Values TBC - moved from the main pack list
Towel,1,,,,10,Values TBC - moved from the main pack list
