name,category,number,weight_g,cost_gbp,comment,current,season,overnight,long_trek,car_camp,on_body,archived
Charger,Electronics,1,142.5,,,,,,TRUE,,,
Mobile Phone,Electronics,0,202,,,"Fairphone 3 – fully charged, with bumper",,,TRUE,,,
Spare phone battery,Electronics,0,53,,,,,,TRUE,,,
Mobile Phone,Electronics,1,270,,,"Fairphone 4 – fully charged, with case",,TRUE,,TRUE,,
USB-C Charging Cable,Electronics,1,44.9,,,,,,TRUE,TRUE,,
Earphones,Electronics,1,51,,,,,TRUE,TRUE,TRUE,,
Watch,Electronics,1,83,,,,,TRUE,TRUE,TRUE,TRUE,
Garmin charging cable,Electronics,1,15,,,,,,TRUE,TRUE,,
eReader,Electronics,1,184.7,,,,,,TRUE,TRUE,,
microUSB Charging Cable,Electronics,1,7.9,,,,,,TRUE,TRUE,,
GPS,Electronics,1,100,,,,,TRUE,TRUE,,,
Active Camera,Electronics,0,80,,,,,,TRUE,,,
Camera mount,Electronics,0,80,,,,,,TRUE,,,
Midge net,Health,1,37,£5.50,,https://www.smidgeup.com/smidge-shop/midge-proof-headnet/,,TRUE,TRUE,TRUE,,
Smidge,Health,1,8,£9.00,,https://www.smidgeup.com/smidge-shop/smidge-repellent/,,TRUE,TRUE,TRUE,,
Skin So Soft,Health,0,5,£4.00,,https://avon.uk.com/products/skin-so-soft-original-dry-oil-spray,,,TRUE,TRUE,,
Tights,Clothing,1,300,£155.00,,https://www.fjallraven.com/uk/en-gb/men/trousers/trekking-trousers/abisko-trekking-tights-m,,TRUE,TRUE,TRUE,TRUE,
Top,Clothing,1,251,£140.00,,https://www.fjallraven.com/uk/en-gb/men/tops/base-layer-tops/singi-merino-henley-m?_t_q=&_t_hit.id=Luminos_Storefront_Web_Features_Catalog_Product_Domain_CommonProduct/CatalogContent_23f9b700-316f-4250-938c-2b4237d7e448_en-GB&_t_hit.pos=9&_t_tags=andquerymatch%2clanguage%3aen%2csiteid%3a162d49d9-f0ac-4d2d-a110-e8143f6ca828&v=F81900%3a%3a7323450524135,,TRUE,TRUE,TRUE,TRUE,
Pac Tube,Clothing,1,37.5,£15.00,,https://www.bikester.co.uk/p.a.c.-ocean-upcycling-multitube-M763613.html?vgid=G1054646&cgid=b2407,,TRUE,TRUE,TRUE,TRUE,
Merino neck tube,Clothing,1,43,,,,Winter,TRUE,TRUE,TRUE,,
Rain Jacket,Clothing,1,394,£150.00,,https://eu.patagonia.com/gb/en/product/mens-torrentshell-3l-rain-jacket/85240.html,,TRUE,TRUE,TRUE,,
Rain Pants,Clothing,1,335,TO BUY,,https://eu.patagonia.com/gb/en/product/mens-torrentshell-3l-rain-pants-regular/85265.html?dwvar_85265_color=BLK&cgid=mens-pants-jeans,,TRUE,TRUE,TRUE,,
Insulating Jacket,Clothing,1,224,£145.00,,https://eu.patagonia.com/gb/en/product/mens-micro-puff-hoody/84030.html,,TRUE,TRUE,TRUE,,
