Brand,Model,URL,Type,Hooded?,Self Stuff?,Recycled %,Weight,Cost,Fill Weight,CLO/g/m^2 (dry),CLO/g/m^2 (wet),CLO Full (dry),FP (equivalent)
Patagonia,Thermal Airshed,https://ultralightoutdoorgear.co.uk/thermal-airshed-insulated-jacket/,Synthetic,FALSE,TRUE,100,230,150,65,0.0251,,1.6315,574
Patagonia,DAS Light Hoody,https://eu.patagonia.com/gb/en/product/mens-das-light-hoody/85300.html?dwvar_85300_color=WAX&cgid=mens-jackets-vests-insulated,Synthetic,TRUE,TRUE,100,320,224,,0.0251,,,574
Patagonia,DAS Parka,https://eu.patagonia.com/gb/en/product/mens-das-parka/85350.html?dwvar_85350_color=TGRD&cgid=mens-jackets-vests-insulated,Synthetic,TRUE,,55,556,294,133,0.0271,0.0265,3.6043,594
Rab,Positron Pro,https://ultralightoutdoorgear.co.uk/positron-pro-down-jacket/,Down,TRUE,,,738,330,300,0.0527,,15.81,800
Rab,Axion Pro,https://ultralightoutdoorgear.co.uk/axion-pro-down-jacket/,Down,TRUE,,100,706,220,295,0.0391,,11.5345,700
Rab,Neutrino Pro,https://ultralightoutdoorgear.co.uk/neutrino-pro-down-jacket/,Down,TRUE,,,572,275,212,0.0527,,11.1724,800
Rab,Electron Pro,https://ultralightoutdoorgear.co.uk/electron-pro-down-jacket/,Down,TRUE,,,496,240,190,0.0527,,10.013,800
Rab,Mythic Alpine,https://ultralightoutdoorgear.co.uk/mythic-alpine-down-jacket/,Down,TRUE,,,325,270,140,0.0684,,9.576,900
Rab,Infinity Alpine,https://ultralightoutdoorgear.co.uk/infinity-alpine-down-jacket/,Down,TRUE,,,548,310,175,0.0527,,9.2225,800
Rab,Microlight Alpine,https://ultralightoutdoorgear.co.uk/microlight-alpine-down-jacket/,Down,TRUE,,100,446,160,153,0.0391,,5.9823,700
Rab,Infinity Microlight,https://ultralightoutdoorgear.co.uk/infinity-microlight-down-jacket/,Down,TRUE,,100,450,220,146,0.0391,,5.7086,700
Rab,Nebula Pro,https://ultralightoutdoorgear.co.uk/nebula-pro-insulated-jacket/,Synthetic,TRUE,TRUE,100,614,165,257,0.0221,0.0195,5.6797,571
Rab,Mythic Alpine Light,https://ultralightoutdoorgear.co.uk/mythic-alpine-light-down-jacket/,Down,TRUE,,,277,225,80,0.0684,,5.472,900
Rab,Microlight ,https://ultralightoutdoorgear.co.uk/microlight-down-jacket/,Down,FALSE,,100,384,160,134,0.0391,,5.2394,700
Rab,Cirrus Flex 2.0,https://ultralightoutdoorgear.co.uk/cirrus-flex-2.0-insulated-jacket/,Synthetic,TRUE,TRUE,100,352,110,110,0.0201,0.0177,2.211,519
Rab,Cirrus Flex 2.0 Hoody,https://ultralightoutdoorgear.co.uk/cirrus-flex-2.0-insulated-hoody/,Synthetic,TRUE,TRUE,100,388,105,110,0.0201,0.0177,2.211,519
Rab,Xenair Light,https://ultralightoutdoorgear.co.uk/xenair-light-insulated-jacket/,Synthetic,FALSE,TRUE,55,258,155,,0.0271,0.0265,,594
Rab,Xenair Alpine Light,https://ultralightoutdoorgear.co.uk/xenair-alpine-light-insulated-jacket/,Synthetic,TRUE,TRUE,55,324,170,,0.0271,0.0265,,594
Rab,Cirrus ,https://ultralightoutdoorgear.co.uk/cirrus-insulated-jacket/,Synthetic,FALSE,,100,416,135,,0.0201,0.0177,,519
Rab,Cirrus Alpine,https://ultralightoutdoorgear.co.uk/cirrus-alpine-insulated-jacket/,Synthetic,TRUE,,100,506,135,,0.0201,0.0177,,519
Rab,Xenair Alpine,https://ultralightoutdoorgear.co.uk/xenair-alpine-insulated-jacket/,Synthetic,TRUE,,55,522,195,,0.0271,0.0265,,594
Rab,Generator Alpine,https://ultralightoutdoorgear.co.uk/generator-alpine-insulated-jacket/,Synthetic,TRUE,,,558,245,,0.0271,0.0265,,594
