name,quantity,weight_g,comment,current
Stash bag,1,6,,
Water filter,1,68,,https://www.platy.com/filtration/quickdraw-1l-filter-system/13903.html
1l bladder for dirty water,1,40,,https://www.platy.com/bottles/softbottle/softbottle.html
Purification tablets,1,6,,https://www.lifeventure.com/products/chlorine-dioxide-tablets
